;Johnny Cash;Willie Nelson;Dolly Parton;Hank Williams;Faith Hill;Dixie Chicks;Garth Brooks;Kenny Rogers;Tim McGraw;Hank Snow;Brooks and Dunn;Lee Hazlewood;Kenny Chesney;Jim Reeves;Roger Miller;Kris Kristofferson;Bob Dylan;Joni Mitchell;Leonard Cohen;Joan Baez;Townes van Zandt;Pete Seeger;Suzanne Vega;Tracy Chapman;Tim Buckley;Steeleye Span;Woody Guthrie;Donovan;Cat Stevens;John Denver;Don McLean;Crosby Stills & Nash;Miles Davis;Dave Brubeck;Billie Holiday;Duke Ellington;Django Reinhardt;Glenn Miller;Ella Fitzgerald;Louis Armstrong;Nat King Cole;Herbie Hancock;Nina Simone;John Coltrane;Charlie Parker;Count Basie;Thelonious Monk;Cannonball Adderley;John Lee Hooker;Muddy Waters;Taj Mahal;John Mayall;Big Bill Broonzy;BB King;Howlin' Wolf;Willie Dixon;Blind Lemon Jefferson;Blind Willie McTell;Mississippi John Hurt;T-Bone Walker;Etta James;Lightnin' Hopkins;Otis Rush;Albert King;James Brown;Marvin Gaye;Otis Redding;Solomon Burke;Sam Cooke;Aretha Franklin;Al Green;The Temptations;The Drifters;Fats Domino;The Supremes;Isaac Hayes;Alicia Keys;Erykah Badu;India Arie;Jill Scott;Iron Maiden;Megadeth;Slayer;Sepultura;Black Sabbath;Anthrax;Alice Cooper;Deep Purple;Def Leppard;AC/DC;Judas Priest;Kiss;Metallica;Pantera;Queensryche;Skid Row;Nirvana;Beck;Smashing Pumpkins;Radiohead;Belle and Sebastian;Alice in Chains;Echo and the Bunnymen;Sonic Youth;Weezer;Pearl Jam;Foo Fighters;Hole;Bush;The Smiths;Depeche Mode;Jane's Addiction;Patti Smith;Sex Pistols;Sid Vicious;Ramones;Bad Religion;The Clash;NoFX;Dead Kennedys;Buzzcocks;Green Day;Blink 182;Sum 41;The Misfits;Rancid;Screeching Weasel;Pennywise;Eminem;Dr. Dre;Public Enemy;Missy Elliot;Cypress Hill;50 Cent;Run DMC;Grandmaster Flash;2Pac;Snoop Dogg;Jay-Z;Busta Rhymes;LL Cool J;DMX;Ice Cube;Mystikal;Aphex Twin;Daft Punk;Kraftwerk;Chemical Brothers;Fatboy Slim;Basement Jaxx;Carl Cox;Moloko;Paul Oakenfold;Prodigy;Armand van Helden;Moby;Massive Attack;Mouse on Mars;Jimi Tenor;Underworld;Bob Marley;Jimmy Cliff;Peter Tosh;Ziggy Marley;Sean Paul;Alpha Blondy;Shaggy;Maxi Priest;Shabba Ranks;UB40;Inner Circle;Desmond Dekker;Capleton;Bounty Killer;Eddy Grant;Black Uhuru;The Rolling Stones;The Animals;The Faces;The Kinks;The Who;Elvis Presley;Chuck Berry;Little Richard;Jerry Lee Lewis;Buddy Holly;Bo Diddley;Bill Haley;Chubby Checker;The Yardbirds;Carl Perkins;Gene Vincent;Madonna;Britney Spears;N'Sync;Justin Timberlake;ABBA;Michael Jackson;Janet Jackson;Prince;Spice Girls;Christina Aguilera;Robbie Williams;Nelly Furtado;Avril Lavigne;Jennifer Lopez;O-Town;Shakira;Wolfgang Amadeus Mozart;Ludwig van Beethoven;Johann Sebastian Bach;Joseph Haydn;Johannes Brahms;Frederic Chopin;Antonin Dvorak;Gustav Mahler;Franz Schubert;Antonio Vivaldi;Richard Wagner;Herbert von Karajan;Yehudi Menuhin;Georg Friedrich Haendel;Tchaikovsky;Giuseppe Verdi
Nirvana;0,086578;0,008115;0,006748;0,002844;0,054194;0,006019;0,01916;0,009173;0,009444;0,000229;0;0,026896;0,032329;0,000619;0,001644;0,010961;0,131584;0,036714;0,112111;0,027404;0,00541;0,000959;0,098155;0,060592;0,114898;0,030573;0,000734;0,059654;0,08661;0,019229;0,119662;0;0,006448;0,000455;0,000403;0,000441;0,003347;0,001209;0,000415;0,001092;0,000815;0,000426;0,000552;0,000452;0,000655;0,000419;0,000222;0,000445;0,012339;0,000848;0,052533;0,034357;0,000228;0;0,004553;0,00023;0,000218;0,000437;0,000629;0,004227;0,007742;0,000463;0,011822;0,008261;0,016076;0,00081;0,004641;0,010795;0,004862;0,007355;0,00065;0,016774;0,005962;0,020067;0,00609;0,003748;0,000993;0,008546;0;0,002137;0,062687;0,032365;0,016066;0,016488;0,114051;0,024023;0,182888;0,181563;0,203824;0,203502;0,039015;0,176783;0,110598;0,03828;0,13387;0,120813;1;0,37866;0,817407;0,452814;0,13606;0,968664;0;0,34529;0,520092;0,988307;0,740875;0,91151;0,913875;0,239862;0,101628;0,726715;0,331556;0,143021;0,088037;0,173748;0,165544;0,203028;0,130322;0,108458;0,143468;0,351525;0,199739;0,269189;0,048019;0,121351;0,091975;0,137055;0,017864;0,007197;0,009108;0;0,06254;0,008297;0,003102;0,000536;0,011582;0,010005;0,008124;0,001512;0,007545;0,005086;0,009681;0,01197;0,008197;0,027654;0,007492;0;0,045319;0,028596;0;0,015801;0,004533;0,008962;0,001443;0,096891;0,033842;0,022674;0,00441;0,017761;0,03491;0;0;0,007783;0,007454;0;0,010772;0,014453;0;0,01692;0,012495;0,002955;0;0;0,000138;0,003555;0,259332;0,183515;0,007385;0,212069;0,236859;0,160148;0,121299;0,102584;0,059731;0,123179;0,083679;0,096394;0,04452;0,164211;0,029862;0,035848;0,032047;0,026832;0;0,004405;0,014005;0,049469;0,029473;0,12371;0,060409;0,025188;0,141911;0,036278;0,251893;0,009512;0,086718;0,104036;0;0;0;0;0;0;0;0;0;0;0;0;0,001252;0;0,000838;0
Beck;0,236658;0,139584;0,095369;0,102792;0,05927;0,036429;0,041439;0,01895;0,007676;0,028499;0;0,25597;0,033803;0,007207;0,096037;0,182076;0,350849;0,296641;0,431449;0,250764;0,262662;0,230755;0,413534;0,304238;0,41324;0,122644;0,230656;0,282481;0,331579;0,201002;0,301891;0,096862;0,018094;0,007328;0,01108;0,013013;0,00838;0,006694;0,007875;0,009881;0,00949;0,018304;0,020303;0,007907;0,007921;0,007266;0,007382;0,007407;0,020563;0,010656;0,087664;0,035999;0,024172;0,007897;0,010784;0,041342;0,022911;0,028388;0,045562;0,010181;0,016299;0,015106;0,015718;0,013936;0,02758;0,011799;0,009807;0,014117;0,0151;0,011202;0,009035;0,022559;0,009614;0,022378;0,009769;0,016936;0,065069;0,030554;0,003683;0,01764;0,042267;0,018398;0,007612;0,005931;0,081412;0,013638;0,139425;0,143713;0,160191;0,161357;0,022574;0,139062;0,082058;0,023252;0,105757;0,087189;0,37866;1;0,676276;0,863173;0,613793;0,292119;0;0,744891;0,830842;0,377052;0,600866;0,392064;0,537066;0,624659;0,248049;0,651038;0,506545;0,099195;0,035994;0,136571;0,151068;0,182421;0,087824;0,079231;0,117006;0,386552;0,28158;0,303361;0,005354;0,077623;0,051391;0,097707;0,04006;0,014519;0,031775;0,015219;0,121758;0,022636;0,016249;0,021636;0,01847;0,02457;0,024995;0,012859;0,014601;0,017247;0,020308;0,03437;0,137012;0,160298;0,13223;0,105315;0,181004;0,159774;0,06028;0,130111;0,083963;0,113641;0,060839;0,306954;0,145839;0,094234;0,112898;0,131228;0,042723;0;0,002948;0,009299;0,018349;0,000061;0,018277;0,010337;0,001801;0,019715;0,008696;0,004756;0,000102;0,00132;0,021882;0,003063;0,233317;0,159146;0,003001;0,222007;0,211941;0,144456;0,10705;0,092293;0,055291;0,13021;0,079804;0,080834;0,042948;0,137553;0,025594;0,030657;0,082085;0,059441;0,025364;0,040524;0,037604;0,077244;0,050111;0,152513;0,04796;0,059264;0,184486;0,181709;0,281744;0,031292;0,125626;0,172407;0,000063;0,000062;0,000057;0;0;0;0;0;0;0;0;0;0,002132;0;0,001363;0
Smashing Pumpkins;0,091985;0,009709;0,009565;0,007635;0,057127;0,007489;0,017103;0,01061;0,009535;0,000631;0;0,03738;0,03409;0,001704;0,002953;0,013122;0,137896;0,044357;0,141207;0,029915;0,006225;0,001132;0,200044;0,084542;0,139332;0,032065;0,001654;0,058354;0,087967;0,019304;0,121205;0;0,011035;0,001252;0,00111;0,001213;0,00354;0,00333;0,001144;0,003007;0,002243;0,001174;0,001521;0,001246;0,001802;0,001154;0,00061;0,001224;0,012951;0,001911;0,055754;0,032829;0,000627;0;0,005448;0,000634;0,0006;0,001202;0,001732;0,004698;0,00882;0,001274;0,011575;0,009529;0,017235;0,001116;0,005544;0,011548;0,006235;0,008649;0,001789;0,017447;0,007865;0,021724;0,007035;0,004933;0,002763;0,01496;0;0,005667;0,067979;0,031092;0,012077;0,010027;0,136819;0,022839;0,234503;0,238459;0,259546;0,263224;0,04601;0,233832;0,12557;0,035668;0,160208;0,178217;0,817407;0,676276;1;0,750728;0,222333;0,769278;0;0,553137;0,776706;0,827081;0,831348;0,783282;0,903931;0,401352;0,175526;0,88679;0,420853;0,100825;0,03565;0,141151;0,162621;0,180969;0,093639;0,070552;0,101848;0,438649;0,307129;0,338598;0,001755;0,080815;0,042273;0,104433;0,029888;0,007272;0,015782;0;0,120505;0,012846;0,008543;0,001476;0,013967;0,013542;0,011634;0,001874;0,006728;0,008451;0,011714;0,023798;0,062984;0,052628;0,016911;0;0,083933;0,057575;0;0,035117;0,009061;0,013876;0,001503;0,242443;0,080937;0,076085;0,006208;0,031894;0,040206;0;0;0,00823;0,010101;0;0,010401;0,011343;0;0,017008;0,011936;0,003125;0;0;0;0,003759;0,280403;0,185529;0;0,222681;0,267045;0,165062;0,122889;0,110117;0,060781;0,128798;0,089886;0,100059;0,048959;0,163957;0,031342;0,037805;0,036871;0,033221;0;0,006751;0,014406;0,055347;0,030805;0,138175;0,048969;0,031159;0,1698;0,070107;0,300708;0,01043;0,11175;0,111643;0;0;0;0;0;0;0;0;0;0;0;0;0,003448;0;0;0
Radiohead;0,096709;0,007721;0,005101;0,005428;0,05373;0,00647;0,007488;0,009536;0,006346;0,000116;0;0,027234;0,032056;0,001559;0,001189;0,010966;0,146153;0,051542;0,154328;0,029098;0,007852;0,000518;0,198546;0,093458;0,151991;0,056655;0,000101;0,078975;0,104;0,017754;0,120956;0,007208;0,010678;0;0,000051;0;0,003594;0;0;0,000165;0,000513;0,013266;0,000093;0,000741;0;0;0,000726;0;0,012732;0,000117;0,054478;0,052626;0;0;0,004333;0,000058;0,000055;0,000055;0;0,004183;0,007853;0;0,012082;0,008367;0,016793;0,000868;0,004264;0,011509;0,004828;0,007364;0,000109;0,019478;0,006688;0,020743;0,007416;0,00365;0,003358;0,015046;0,002044;0,006121;0,060925;0,021965;0,008174;0,007532;0,112379;0,015871;0,174025;0,192178;0,210971;0,200317;0,034773;0,172495;0,100835;0,02665;0,134313;0,110777;0,452814;0,863173;0,750728;1;0,485156;0,36753;0,006056;0,705629;0,90316;0,476822;0,755102;0,464906;0,677406;0,612544;0,337733;0,809525;0,432468;0,139477;0,069226;0,146949;0,160236;0,236297;0,094182;0,076568;0,155092;0,442774;0,288973;0,347387;0;0,081221;0,047457;0,105982;0,026234;0,004932;0,017036;0;0,109085;0,011361;0;0,014947;0,0083;0,012473;0,010965;0,000352;0,001494;0,007645;0,009093;0,022624;0,213063;0,244396;0,229452;0,201074;0,27625;0,243076;0,114472;0,209267;0,151712;0,199468;0,108435;0,393807;0,2018;0,092247;0,185738;0,231956;0,040521;0;0,000171;0,008355;0,012527;0;0,010841;0,011692;0,000088;0,039959;0,009565;0,003217;0;0;0,025625;0,003816;0,318273;0,232128;0,066997;0,301727;0,297472;0,170388;0,124365;0,11089;0,060174;0,133618;0,088637;0,101478;0,04587;0,187706;0,030717;0,037329;0,080711;0,039179;0,009437;0,018244;0,024678;0,060799;0,028885;0,147808;0,077614;0,036034;0,283038;0,080002;0,311117;0,012541;0,116692;0,142827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001902;0
Belle and Sebastian;0,062824;0,027911;0,028976;0,019441;0,061385;0,037455;0,007061;0,002056;0,003908;0,00137;0;0,067339;0,014493;0,005794;0,025764;0,029131;0,095868;0,086245;0,11723;0,066755;0,055265;0,061504;0,169525;0,111974;0,09058;0,062427;0,060919;0,086488;0,093909;0,050574;0,070954;0,1154;0,003097;0,000068;0,00283;0,000263;0,00072;0;0,002854;0;0,001096;0,000382;0,003852;0;0;0;0;0;0,002644;0,000138;0,025913;0,012371;0,009251;0;0,000845;0,001651;0,008207;0,009656;0,019866;0,000827;0,005174;0,003181;0,002617;0,001677;0,004401;0,005751;0,002048;0,002916;0,007157;0,006238;0,001294;0,013633;0,013623;0,004093;0,020054;0,001994;0,039779;0,0142;0,007339;0,005142;0,012941;0,004423;0,001638;0,00151;0,023115;0,003181;0,034312;0,038215;0,045107;0,041386;0,00751;0,034911;0,021288;0,006217;0,026923;0,021609;0,13606;0,613793;0,222333;0,485156;1;0,083395;0;0,510363;0,462041;0,11052;0,207759;0,142487;0,176439;0,561471;0,081327;0,230637;0,166283;0,047271;0,019704;0,052427;0,049549;0,092978;0,028648;0,037635;0,076279;0,132029;0,093216;0,101682;0;0,026028;0,028813;0,031606;0,01838;0,000789;0,014795;0;0,037165;0,010457;0;0,000427;0,003494;0,010212;0,011871;0,00193;0,004242;0,003302;0,007365;0,012989;0,028542;0,035477;0,011756;0,006298;0,036582;0,054106;0,004271;0,040641;0,009031;0,009552;0,005288;0,10065;0,044746;0,037306;0,01655;0,023611;0,010053;0;0,000339;0,003001;0,011443;0,000067;0,031027;0,032397;0;0,035308;0,006932;0,000742;0;0;0,029648;0,000829;0,077952;0,059268;0,019864;0,129303;0,072718;0,0475;0,025437;0,023852;0,011986;0,046805;0,017855;0,020152;0,016272;0,041731;0,006062;0,008385;0,116758;0,123019;0,10073;0,104119;0,091857;0,117706;0,095123;0,100041;0,133643;0,114423;0,178552;0,152176;0,150448;0,094978;0,154876;0,106063;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002255;0
Alice in Chains;0,066649;0,006266;0,004882;0,002221;0,041368;0,004381;0,012683;0,007006;0,006557;0,000159;0;0,020074;0,024957;0,00043;0,001042;0,008545;0,101608;0,02796;0,087317;0,020781;0,004025;0,000571;0,077272;0,046214;0,090653;0,024006;0,000487;0,045865;0,066789;0,014201;0,09205;0;0,005117;0,000316;0,00028;0,000306;0,00265;0,00084;0,000288;0,000758;0,000566;0,000296;0,000384;0,000314;0,000454;0,000291;0,000154;0,000309;0,009618;0,000562;0,041237;0,026298;0,000158;0;0,003516;0,00016;0,000151;0,000303;0,000437;0,003281;0,00606;0,000321;0,009121;0,006494;0,01259;0,000492;0,003495;0,008432;0,003628;0,005728;0,000451;0,012757;0,004557;0,0157;0,004715;0,002911;0,000653;0,006349;0;0,00164;0,139274;0,075228;0,039413;0,044501;0,216002;0,056584;0,289005;0,263103;0,299693;0,312451;0,124963;0,278743;0,185941;0,084168;0,194032;0,260519;0,968664;0,292119;0,769278;0,36753;0,083395;1;0;0,273246;0,417292;0,971087;0,684807;0,877855;0,859826;0,178392;0,080997;0,69279;0,236953;0,063302;0,021848;0,090748;0,085987;0,113348;0,055799;0,037102;0,063145;0,253128;0,141436;0,18822;0,000443;0,047836;0,024644;0,06221;0,013921;0,004961;0,006529;0;0,05043;0,006526;0,002154;0,000372;0,008004;0,007317;0,005766;0,000969;0,00474;0,004505;0,007028;0,008855;0,005762;0,021216;0,005992;0;0,035594;0,022524;0;0,012079;0,003614;0,007049;0,000915;0,077239;0,026452;0,016717;0,002722;0,013489;0,027497;0;0;0,006161;0,005585;0;0,007853;0,009032;0;0,013021;0,00911;0,002339;0;0;0,000072;0,002814;0,213705;0,144002;0,003846;0,166442;0,219302;0,124379;0,094034;0,080659;0,046065;0,096173;0,066068;0,075622;0,034713;0,130689;0,023277;0,028051;0,023753;0,019614;0;0,003324;0,010954;0,037953;0,020269;0,096995;0,038654;0,019372;0,110801;0,028705;0,192463;0,006486;0,068688;0,081744;0;0;0;0;0;0;0;0;0;0;0;0;0,000869;0;0;0
Echo and the Bunnymen;0,00194;0;0,006259;0;0;0;0;0,004491;0;0;0;0;0,004772;0;0;0;0,001599;0,001558;0,003411;0;0;0,002013;0,028345;0,005723;0;0;0;0;0;0;0,004334;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002276;0,002027;0;0;0;0;0;0;0;0;0;0;0;0;0,001802;0,001983;0;0;0;0,001946;0,00212;0;0;0;0;0,001866;0;0;0;0;0,004157;0,00397;0,002237;0;0,003547;0,004343;0,022108;0,004649;0,074397;0,018054;0,004317;0,045262;0,004471;0;0,012251;0,058387;0;0;0;0,006056;0;0;1;0,364173;0;0;0;0;0;0,432038;0,109416;0,011477;0,018146;0;0;0,009438;0,001782;0,031634;0;0,008112;0,080019;0;0;0;0,049931;0;0,001915;0;0;0;0,015636;0;0;0;0;0,059478;0;0;0;0;0,031663;0;0,001436;0;0;0;0,01179;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0022;0;0,016982;0;0,070373;0,002294;0;0;0;0,097336;0;0,005255;0,003422;0;0,001532;0,001805;0,001374;0;0;0;0;0;0;0;0;0;0;0,057754;0;0;0;0,064031;0,099078;0,03301;0,082997;0;0;0,001897;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sonic Youth;0,067421;0,005878;0,009354;0,00526;0,037685;0,007868;0,005702;0,006999;0,004252;0,000287;0;0,026608;0,021394;0,000819;0,001345;0,008026;0,099074;0,04435;0,113994;0,023595;0,007361;0,001031;0,170001;0,081095;0,133685;0,021157;0,000753;0,045645;0,060731;0,011876;0,07797;0;0,012083;0,000618;0,004211;0,000599;0,003652;0,001517;0,004514;0,00137;0,001022;0,004678;0,004465;0,006526;0,000821;0,000526;0,004307;0,000558;0,009149;0,001451;0,036102;0,021891;0,000904;0;0,003446;0,000337;0,000501;0,00073;0,00114;0,003132;0,009318;0,001354;0,00842;0,006842;0,011274;0,000762;0,003268;0,007464;0,003641;0,009307;0,001086;0,014151;0,004824;0,013836;0,007571;0,003147;0,005899;0,017352;0,002842;0,007757;0,034696;0,015508;0,006446;0,00484;0,06516;0,011635;0,114035;0,114288;0,137455;0,131392;0,018292;0,116732;0,066747;0,01878;0,087872;0,078059;0,34529;0,744891;0,553137;0,705629;0,510363;0,273246;0,364173;1;0,673954;0,337064;0,491704;0,354027;0,451419;0,65474;0,157258;0,53345;0,351666;0,112426;0,060094;0,142442;0,14946;0,18337;0,101275;0,09702;0,158518;0,325776;0,230208;0,259681;0,035375;0,093554;0,07317;0,108445;0,020229;0,003052;0,019434;0;0,085619;0,009642;0,003891;0,009635;0,007056;0,010913;0,012076;0,002663;0,006572;0,007478;0,008739;0,019117;0,186318;0,052761;0,069301;0,004277;0,065187;0,053346;0,003021;0,041702;0,009686;0,013991;0,003108;0,163725;0,073421;0,264094;0,061599;0,030746;0,026929;0;0;0,005369;0,007398;0,000282;0,00532;0,004441;0;0,019577;0,006415;0,002039;0;0;0,013117;0,002452;0,185249;0,126294;0;0,174918;0,168723;0,109606;0,080023;0,072054;0,039033;0,088771;0,058264;0,065068;0,030939;0,107806;0,02014;0,024357;0,033001;0,021799;0;0,003843;0,018556;0,046574;0,025241;0,105927;0,019674;0,024138;0,117832;0,059648;0,21504;0,007917;0,074751;0,107229;0;0;0;0;0;0;0;0;0;0;0;0;0,001645;0;0,000526;0
Weezer;0,138297;0,012657;0,011902;0,005648;0,088883;0,014606;0,013476;0,015094;0,010477;0,000421;0;0,048809;0,049204;0,003623;0,003936;0,017504;0,208186;0,065194;0,192377;0,041905;0,011058;0,00124;0,202383;0,110928;0,188917;0,047539;0,001103;0,093683;0,137382;0,029796;0,183822;0,0225;0,011353;0,000775;0,000634;0,000751;0,005267;0,001903;0,000653;0,00189;0,002029;0,000671;0,000869;0,000712;0,00103;0,000659;0,000349;0,000699;0,01917;0,001274;0,080765;0,051505;0,000418;0;0,007102;0,000422;0,0004;0,000744;0,001045;0,006529;0,012333;0,000728;0,017911;0,012998;0,025391;0,002709;0,00747;0,017093;0,009305;0,012093;0,001363;0,028812;0,013201;0,031348;0,014246;0,006297;0,011552;0,015703;0;0,004335;0,08477;0,038537;0,017251;0,016337;0,158545;0,028842;0,264157;0,265206;0,299044;0,29678;0,04757;0,258236;0,152539;0,044415;0,200784;0,168436;0,520092;0,830842;0,776706;0,90316;0,462041;0,417292;0;0,673954;1;0,551474;0,872429;0,518561;0,733709;0,573093;0,184883;0,869219;0,557619;0,2118;0,119707;0,264927;0,258217;0,319836;0,19306;0,16266;0,223474;0,578315;0,354068;0,457416;0,058836;0,176382;0,134198;0,207018;0,033465;0,006395;0,017959;0;0,109601;0,016249;0,004881;0,000843;0,011918;0,016412;0,013493;0,00151;0,004004;0,009059;0,011886;0,021561;0,020651;0,052105;0,014209;0;0,078902;0,06157;0;0,034737;0,008276;0,015086;0,001283;0,189107;0,06803;0,045788;0,008053;0,029692;0,055677;0;0;0,012245;0,01506;0;0,020762;0,013132;0,000092;0,031862;0,015236;0,004696;0;0;0,008798;0,005593;0,402722;0,283833;0,00581;0,350114;0,365897;0,250684;0,18584;0,161225;0,090883;0,198256;0,131502;0,149846;0,071501;0,250413;0,046146;0,05596;0,070993;0,067335;0,02946;0,038419;0,047542;0,102025;0,052238;0,212161;0,062488;0,06803;0,257577;0,099231;0,438597;0,034696;0,156695;0,182268;0;0;0;0;0;0;0;0;0;0;0;0;0,002064;0;0,001319;0
Pearl Jam;0,098915;0,009399;0,007124;0,002691;0,060235;0,00645;0,018974;0,011934;0,010616;0,000289;0;0,030363;0,036661;0,001821;0,002502;0,012918;0,152062;0,040813;0,124426;0,031931;0,005987;0,001362;0,097134;0,06406;0,129992;0,035482;0,000821;0,06981;0,101007;0,023267;0,140772;0;0,006827;0,000502;0,000381;0,000486;0,003864;0,001144;0,000393;0,00124;0,001285;0,000403;0,000523;0,000428;0,000619;0,000396;0,00021;0,000421;0,014466;0,000949;0,06041;0,040602;0,000287;0;0,005274;0,00029;0,000275;0,000482;0,000661;0,004872;0,008873;0,000438;0,013879;0,009439;0,018695;0,00115;0,005539;0,012702;0,005699;0,008401;0,000615;0,01924;0,007006;0,023307;0,006986;0,004328;0,000989;0,008313;0;0,002022;0,073037;0,03203;0,011959;0,011086;0,149274;0,02308;0,252147;0,246908;0,275641;0,27641;0,049776;0,246559;0,126536;0,03407;0,169283;0,181194;0,988307;0,377052;0,827081;0,476822;0,11052;0,971087;0;0,337064;0,551474;1;0,794769;0,89905;0,932303;0,233237;0,106256;0,777764;0,327241;0,089976;0,030875;0,127615;0,115711;0,161654;0,076587;0,05069;0,089353;0,340587;0,187041;0,249918;0,000603;0,066785;0,033305;0,085604;0,018788;0,007153;0,008618;0;0,062615;0,009113;0,002935;0,000507;0,011218;0,010273;0,007915;0,001431;0,006799;0,005254;0,009114;0,010955;0,007375;0,027042;0,007659;0;0,045868;0,028156;0;0,014699;0,004818;0,009725;0,001306;0,096183;0,032021;0,02079;0,003709;0,018206;0,039879;0;0;0,008984;0,007864;0;0,011657;0,012991;0,00011;0,019338;0,013227;0,003467;0;0;0,000849;0,004103;0,303547;0,214363;0,010481;0,244134;0,284515;0,186747;0,141818;0,118616;0,069928;0,142492;0,096521;0,111882;0,051746;0,193624;0,034712;0,041588;0,033981;0,027934;0;0,006342;0,016242;0,055067;0,029095;0,140641;0,055769;0,027682;0,159149;0,036812;0,272056;0,009375;0,09015;0,118784;0;0;0;0;0;0;0;0;0;0;0;0;0,001297;0;0,000793;0
Foo Fighters;0,156036;0,014367;0,009702;0,003684;0,089573;0,009565;0,010555;0,015844;0,009125;0,000288;0;0,046194;0,055174;0,001101;0,001818;0,019849;0,235617;0,063728;0,197289;0,0456;0,009921;0,000775;0,147922;0,098931;0,208635;0,056592;0,000817;0,106679;0,154675;0,031071;0,210405;0,004491;0,010631;0,000571;0,000506;0,000554;0,006307;0,001519;0,000522;0,001372;0,001087;0,000535;0,000694;0,000568;0,000822;0,000526;0,000278;0,000558;0,022445;0,000945;0,09577;0,060054;0,000286;0;0,008062;0,000289;0,000274;0,000548;0,00079;0,007602;0,014225;0,000581;0,021037;0,015272;0,029597;0,001018;0,007802;0,019948;0,008477;0,013421;0,000884;0,030241;0,011143;0,036779;0,01183;0,006763;0,0032;0,011598;0;0,002754;0,119179;0,051497;0,020085;0,019168;0,236449;0,038439;0,399078;0,386224;0,438321;0,439366;0,079255;0,392661;0,204084;0,053518;0,278165;0,293464;0,740875;0,600866;0,831348;0,755102;0,207759;0,684807;0;0,491704;0,872429;0,794769;1;0,70041;0,899526;0,38765;0,162273;0,953739;0,540903;0,179564;0,08413;0,236387;0,214818;0,290635;0,155916;0,11629;0,182011;0,554608;0,298581;0,420565;0,028123;0,140359;0,085236;0,17141;0,028029;0,006048;0,012314;0;0,089062;0,014594;0,003897;0,000673;0,009101;0,013838;0,009808;0,000712;0,001692;0,008261;0,008337;0,013648;0,012365;0,038846;0,011785;0;0,065734;0,042885;0;0,021551;0,007592;0,015292;0,000532;0,143319;0,046537;0,028554;0,003334;0,025796;0,063455;0;0;0,014664;0,013034;0;0,014968;0,003744;0;0,030116;0,015671;0,005568;0;0;0,001691;0,006698;0,470873;0,328984;0,003479;0,382572;0,441709;0,288531;0,218131;0,189312;0,106067;0,227502;0,156671;0,178036;0,081316;0,296175;0,054319;0,06584;0,048652;0,039951;0,00588;0,013532;0,031008;0,085919;0,030076;0,224479;0,026977;0,047092;0,249129;0,062738;0,449315;0,012748;0,118049;0,193051;0;0;0;0;0;0;0;0;0;0;0;0;0,001573;0;0,00079;0
Hole;0,076507;0,007317;0,137371;0,00334;0,194699;0,14663;0,014752;0,008131;0,007727;0,000271;0;0,026206;0,028583;0,001097;0,001711;0,009948;0,114895;0,197842;0,103541;0,16157;0,004924;0,000729;0,347105;0,276349;0,105115;0,045306;0,000769;0,05131;0,075273;0,016425;0,103362;0,004225;0,006464;0,000604;0,132795;0,000586;0,002967;0,001429;0,142628;0,001291;0,001023;0,000504;0,135021;0,000535;0,000774;0,000495;0,000262;0,000525;0,010868;0,000889;0,046427;0,028985;0,000336;0;0,004106;0,000272;0,000258;0,000516;0,000805;0,003746;0,142664;0,000547;0,010091;0,007461;0,01425;0,000958;0,004177;0,009507;0,004696;0,139953;0,000832;0,014921;0,00618;0,017745;0,121149;0,003548;0,160356;0,155583;0,080975;0,133311;0,049355;0,023178;0,009921;0,009017;0,093653;0,016838;0,157386;0,15607;0,177195;0,176402;0,02885;0,153596;0,089712;0,0267;0,116441;0,104828;0,91151;0,392064;0,783282;0,464906;0,142487;0,877855;0;0,354027;0,518561;0,89905;0,70041;1;0,848823;0,246614;0,103019;0,698987;0,510715;0,16679;0,115044;0,193646;0,192221;0,219769;0,156422;0,136216;0,167161;0,362305;0,213529;0,28693;0,070624;0,147097;0,1196;0,16255;0,018227;0,00592;0,009122;0;0,064672;0,008537;0,003666;0,000633;0,009877;0,009482;0,007681;0,001392;0,005732;0,005026;0,008494;0,01299;0,008603;0,028561;0,007886;0;0,046206;0,033681;0;0,145617;0,007043;0,008721;0,001223;0,104678;0,039902;0,023758;0,004006;0,017;0,031367;0;0;0,006899;0,007795;0;0,010443;0,01185;0;0,015926;0,010522;0,00262;0;0;0,001591;0,003151;0,227063;0,158533;0,003273;0,186631;0,208093;0,139837;0,104934;0,090778;0,051473;0,108871;0,074346;0,084501;0,039849;0,140904;0,026136;0,031554;0,172178;0,154559;0,005532;0,009846;0,04864;0,049417;0,177797;0,114024;0,166492;0,200357;0,134145;0,221681;0,398631;0,145382;0,084949;0,245572;0;0;0;0;0;0;0;0;0;0;0;0;0,001585;0;0;0
